0.73,13.716
0.74,13.588
0.75,13.459
0.76,13.323
0.77,13.11
0.78,12.895
0.79,12.661
0.8,12.427
0.81,12.183
0.82,11.94
0.83,11.706
0.84,11.472
0.85,11.37
0.86,11.268
0.87,11.166
0.88,11.065
0.89,10.963
0.9,10.862
0.91,10.76
0.92,10.714
0.93,10.673
0.94,10.633
0.95,10.592
0.96,10.551
0.97,10.511
0.98,10.47
0.99,10.429
1,10.389
1.01,10.348
1.02,10.346
1.03,10.354
1.04,10.362
1.05,10.37
1.06,10.378
1.07,10.386
1.08,10.394
1.09,10.403
1.1,10.411
1.11,10.419
1.12,10.373
1.13,10.3
1.14,10.227
1.15,10.154
1.16,10.08
1.17,10.013
1.18,9.95
1.19,9.887
1.2,9.824
1.21,9.761
1.22,9.698
1.23,9.635
1.24,9.572
1.25,9.51
1.26,9.447
1.27,9.391
1.28,9.342
1.29,9.294
1.3,9.245
1.31,9.197
1.32,9.148
1.33,9.1
1.34,9.051
1.35,9.003
1.36,8.954
1.37,8.906
1.38,8.858
1.39,8.809
1.4,8.77
1.41,8.752
1.42,8.733
1.43,8.715
1.44,8.696
1.45,8.678
1.46,8.66
1.47,8.641
1.48,8.623
1.49,8.604
1.5,8.586
1.51,8.567
1.52,8.549
1.53,8.53
1.54,8.512
1.55,8.493
1.56,8.475
1.57,8.456
1.58,8.438
1.59,8.419
1.6,8.401
1.61,8.382
1.62,8.365
1.63,8.364
1.64,8.363
1.65,8.361
1.66,8.36
1.67,8.359
1.68,8.358
1.69,8.357
1.7,8.355
1.71,8.354
1.72,8.353
1.73,8.352
1.74,8.351
1.75,8.349
1.76,8.348
1.77,8.347
1.78,8.346
1.79,8.345
1.8,8.333
1.81,8.319
1.82,8.306
1.83,8.292
1.84,8.279
1.85,8.265
1.86,8.252
1.87,8.238
1.88,8.225
1.89,8.211
1.9,8.197
1.91,8.184
1.92,8.164
1.93,8.141
1.94,8.119
1.95,8.096
1.96,8.074
1.97,8.051
1.98,8.029
1.99,8.006
2,7.983
2.01,7.967
2.02,7.955
2.03,7.944
2.04,7.932
2.05,7.92
2.06,7.908
2.07,7.896
2.08,7.884
2.09,7.872
2.1,7.861
2.11,7.849
2.12,7.837
2.13,7.829
2.14,7.827
2.15,7.824
2.16,7.822
2.17,7.82
2.18,7.817
2.19,7.815
2.2,7.813
2.21,7.81
2.22,7.808
2.23,7.805
2.24,7.803
2.25,7.801
2.26,7.798
2.27,7.796
2.28,7.793
2.29,7.791
2.3,7.788
2.31,7.783
2.32,7.778
2.33,7.774
2.34,7.769
2.35,7.764
2.36,7.759
2.37,7.755
2.38,7.75
2.39,7.745
2.4,7.74
2.41,7.735
2.42,7.731
2.43,7.726
2.44,7.721
2.45,7.716
2.46,7.712
2.47,7.707
2.48,7.701
2.49,7.695
2.5,7.689
2.51,7.683
2.52,7.677
2.53,7.671
2.54,7.665
2.55,7.659
2.56,7.653
2.57,7.647
2.58,7.641
2.59,7.635
2.6,7.629
2.61,7.623
2.62,7.617
2.63,7.611
2.64,7.605
2.65,7.6
2.66,7.596
2.67,7.591
2.68,7.586
2.69,7.581
2.7,7.577
2.71,7.572
2.72,7.567
2.73,7.563
2.74,7.558
2.75,7.553
2.76,7.549
2.77,7.544
2.78,7.542
2.79,7.54
2.8,7.539
2.81,7.537
2.82,7.536
2.83,7.535
2.84,7.533
2.85,7.532
2.86,7.531
2.87,7.529
2.88,7.528
2.89,7.527
2.9,7.525
2.91,7.524
2.92,7.523
2.93,7.521
2.94,7.52
